final_price,game_name,game_url,img_url,release_date,reviews_summary
₹230.00,American Truck Simulator,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/270880/capsule_sm_120.jpg?t=1716184292,"2 Feb, 2016","Very Positive87% of the 8,057,144 user reviews for this game are positive."
₹719.00,FINAL FANTASY XIV Online,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/39210/capsule_sm_120.jpg?t=1711488174,"18 Feb, 2014","Very Positive87% of the 8,057,144 user reviews for this game are positive."
Free,War Thunder,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/236390/capsule_sm_120.jpg?t=1713793346,"15 Aug, 2013","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹3,499.00",EA SPORTS FC™ 24,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/2195250/capsule_sm_120.jpg?t=1713799333,"28 Sep, 2023","Very Positive87% of the 8,057,144 user reviews for this game are positive."
₹999.00,Fallout 4,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/377160/capsule_sm_120.jpg?t=1712851055,"9 Nov, 2015","Very Positive87% of the 8,057,144 user reviews for this game are positive."
₹320.00,Content Warning,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/2881650/capsule_sm_120.jpg?t=1715689548,"1 Apr, 2024","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹1,799.00",Rust,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/252490/capsule_sm_120.jpg?t=1715591843,"8 Feb, 2018","Very Positive87% of the 8,057,144 user reviews for this game are positive."
Free,NARAKA: BLADEPOINT,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1203220/capsule_sm_120.jpg?t=1715253758,"11 Aug, 2021","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹1,599.00",The Elder Scrolls® Online,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/306130/capsule_sm_120.jpg?t=1714743018,"22 May, 2017","Very Positive87% of the 8,057,144 user reviews for this game are positive."
₹990.00,ANIMAL WELL,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/813230/capsule_sm_120.jpg?t=1715425583,"9 May, 2024","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹3,499.00",Sea of Thieves: 2024 Edition,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1172620/capsule_sm_120.jpg?t=1714490015,"3 Jun, 2020","Very Positive87% of the 8,057,144 user reviews for this game are positive."
